"","X","median_income","GEO_ID","index","percent_white","percent_in_labor_force","percent_no_available_car","percent_public_trans_commute","life_expectancy","se.e.0..","tree_density","percent_not_alive","avg_tree_diam"
"1",0,74836,36005000400,"Census Tract 4, Bronx County, New York: Summary level: 140, state:36> county:005> tract:000400",35.1817413355875,49.9915469146238,9.65342349957735,19.8816568047337,79.9,1.2545,"Low","Low","Low"
"2",1,32312,36005001600,"Census Tract 16, Bronx County, New York: Summary level: 140, state:36> county:005> tract:001600",38.9692124510971,39.5135227079435,12.5191359074673,16.2612689232863,80.9,1.8034,"Medium","Medium","Medium"
"3",2,37936,36005001900,"Census Tract 19, Bronx County, New York: Summary level: 140, state:36> county:005> tract:001900",19.0659976842918,51.7560787340795,20.7255885758394,25.3184098803551,NA,NA,"Low","High","Low"
"4",3,18086,36005002000,"Census Tract 20, Bronx County, New York: Summary level: 140, state:36> county:005> tract:002000",30.8595584781588,35.5683419445749,13.1399718177548,19.8919680601221,80.3,2.5833,"Medium","Low","Medium"
"5",4,14479,36005002300,"Census Tract 23, Bronx County, New York: Summary level: 140, state:36> county:005> tract:002300",18.1399245915375,30.7498952660243,18.2865521575199,18.0980310012568,75,1.3207,"Low","High","High"
"6",5,NA,36005002400,"Census Tract 24, Bronx County, New York: Summary level: 140, state:36> county:005> tract:002400",52,75.3333333333333,75.3333333333333,75.3333333333333,NA,NA,"Low","Low","Medium"
"7",6,17226,36005002500,"Census Tract 25, Bronx County, New York: Summary level: 140, state:36> county:005> tract:002500",22.5583566760037,34.8646125116713,14.8832866479925,19.3464052287582,72.9,1.3746,"Medium","Low","Low"
"8",7,20153,36005002701,"Census Tract 27.01, Bronx County, New York: Summary level: 140, state:36> county:005> tract:002701",17.3076923076923,43.0702917771883,27.1220159151194,22.7122015915119,71.6,1.74,"Low","High","Low"
"9",8,17147,36005002702,"Census Tract 27.02, Bronx County, New York: Summary level: 140, state:36> county:005> tract:002702",16.1992465466722,36.5006278777731,27.5429049811637,25.9522812892424,75.6,1.5453,"Medium","High","Low"
"10",9,49529,36005002800,"Census Tract 28, Bronx County, New York: Summary level: 140, state:36> county:005> tract:002800",3.24589545197207,51.8022268352519,9.85091526703152,21.2870352896773,78,1.3217,"Low","Low","High"
"11",10,19923,36005003300,"Census Tract 33, Bronx County, New York: Summary level: 140, state:36> county:005> tract:003300",15.1584867075665,34.918200408998,18.1748466257669,18.5838445807771,77.5,2.9852,"Medium","Low","Low"
"12",11,26541,36005003500,"Census Tract 35, Bronx County, New York: Summary level: 140, state:36> county:005> tract:003500",9.97973657548126,39.0577507598784,18.5663627152989,21.8591691995947,78.8,3.5915,"Medium","Medium","Low"
"13",12,25990,36005003900,"Census Tract 39, Bronx County, New York: Summary level: 140, state:36> county:005> tract:003900",18.5969156335047,45.4792863622619,35.1980647112186,33.3988509222861,76.8,1.3407,"Medium","High","Low"
"14",13,18636,36005004100,"Census Tract 41, Bronx County, New York: Summary level: 140, state:36> county:005> tract:004100",17.1865348980852,33.1377393452749,17.8196417541692,19.7035206917851,73.5,1.3528,"Medium","High","Low"
"15",14,25741,36005004200,"Census Tract 42, Bronx County, New York: Summary level: 140, state:36> county:005> tract:004200",26.8539325842697,37.2331460674157,16.7837078651685,18.9466292134831,75.4,1.3697,"Low","Low","Medium"
"16",15,21448,36005004300,"Census Tract 43, Bronx County, New York: Summary level: 140, state:36> county:005> tract:004300",13.1748390292224,39.6235760277365,20.3566121842496,21.0995542347697,79,2.6594,"Medium","High","Low"
"17",16,40950,36005004600,"Census Tract 46, Bronx County, New York: Summary level: 140, state:36> county:005> tract:004600",30.6046013911183,36.3830925628678,11.3429641519529,14.5532370251471,73.6,3.0846,"Low","High","High"
"18",17,30301,36005004800,"Census Tract 48, Bronx County, New York: Summary level: 140, state:36> county:005> tract:004800",10.977744436109,45.8614653663416,21.5553888472118,27.8319579894974,80,2.2584,"Medium","Low","High"
"19",18,27456,36005005001,"Census Tract 50.01, Bronx County, New York: Summary level: 140, state:36> county:005> tract:005001",12.0163766632549,45.9365404298874,19.8157625383828,25.7727737973388,78.5,2.223,"High","Medium","Low"
"20",19,28039,36005005002,"Census Tract 50.02, Bronx County, New York: Summary level: 140, state:36> county:005> tract:005002",14.6902654867257,54.0530973451327,32.7964601769911,34.6548672566372,75.6,1.8264,"High","Medium","Low"
"21",20,18633,36005005100,"Census Tract 51, Bronx County, New York: Summary level: 140, state:36> county:005> tract:005100",11.4452503095701,37.2722448257562,19.2110383866973,24.5533345126481,74.4,1.3771,"Low","Medium","Low"
"22",21,17756,36005005200,"Census Tract 52, Bronx County, New York: Summary level: 140, state:36> county:005> tract:005200",20.6851119894598,38.0324989020641,15.2393500219587,17.215634606939,79.5,3.4118,"Low","Medium","Low"
"23",22,27380,36005005400,"Census Tract 54, Bronx County, New York: Summary level: 140, state:36> county:005> tract:005400",18.2666023476443,45.9077022029265,27.4642225438173,27.142627432063,80,2.5018,"Low","Medium","Low"
"24",23,17771,36005005600,"Census Tract 56, Bronx County, New York: Summary level: 140, state:36> county:005> tract:005600",14.8298217179903,39.9918962722853,16.9773095623987,20.3403565640194,75.6,0.9381,"Medium","Medium","Low"
"25",24,41190,36005006000,"Census Tract 60, Bronx County, New York: Summary level: 140, state:36> county:005> tract:006000",13.0573248407643,46.7356687898089,17.1178343949045,25,77.4,2.7494,"Low","High","Low"
"26",25,24480,36005006200,"Census Tract 62, Bronx County, New York: Summary level: 140, state:36> county:005> tract:006200",11.4586070959264,40.7884362680683,23.2194480946124,23.0223390275953,78.1,2.7842,"Low","Low","Medium"
"27",26,32064,36005006300,"Census Tract 63, Bronx County, New York: Summary level: 140, state:36> county:005> tract:006300",25.9083728278041,52.5840668020763,30.7605506657639,32.881967953058,76.8,1.2675,"Low","High","Low"
"28",27,30726,36005006400,"Census Tract 64, Bronx County, New York: Summary level: 140, state:36> county:005> tract:006400",28.0779944289694,46.2952646239554,15.6824512534819,25.9052924791086,81.9,3.982,"Medium","High","Medium"
"29",28,21384,36005006500,"Census Tract 65, Bronx County, New York: Summary level: 140, state:36> county:005> tract:006500",14.6163659558958,44.6874430472025,32.385638782577,27.9023145616913,76.1,1.9936,"Medium","High","Low"
"30",29,21016,36005006700,"Census Tract 67, Bronx County, New York: Summary level: 140, state:36> county:005> tract:006700",12.4242015900822,38.0676458698289,25.1852850020213,20.3611373130306,78,2.5589,"Low","High","Low"
"31",30,47232,36005006800,"Census Tract 68, Bronx County, New York: Summary level: 140, state:36> county:005> tract:006800",11.61800486618,47.5973236009732,14.1119221411192,23.5097323600973,75.6,1.2627,"High","Low","High"
"32",31,19741,36005006900,"Census Tract 69, Bronx County, New York: Summary level: 140, state:36> county:005> tract:006900",11.1059153612345,36.7079728781856,16.0509703062895,19.1840074818798,76.8,1.2393,"High","High","Low"
"33",32,34191,36005007000,"Census Tract 70, Bronx County, New York: Summary level: 140, state:36> county:005> tract:007000",22.6795096322242,46.584938704028,16.2434325744308,28.8309982486865,80.6,3.715,"High","Low","Medium"
"34",33,38289,36005007100,"Census Tract 71, Bronx County, New York: Summary level: 140, state:36> county:005> tract:007100",9.383588535532,47.5461327051433,17.8641539065567,26.6195524146054,77,2.6384,"Low","Low","Low"
"35",34,37634,36005007200,"Census Tract 72, Bronx County, New York: Summary level: 140, state:36> county:005> tract:007200",17.554105118516,42.8031604259705,16.8842322226039,23.0161456544143,84.3,3.1541,"Medium","Medium","Low"
"36",35,18358,36005007300,"Census Tract 73, Bronx County, New York: Summary level: 140, state:36> county:005> tract:007300",7.57777186918373,37.543206593991,18.8779579898963,18.5323052379686,75.6,1.3431,"High","High","Low"
"37",36,44455,36005007400,"Census Tract 74, Bronx County, New York: Summary level: 140, state:36> county:005> tract:007400",30.1237964236589,48.2806052269601,6.24484181568088,20.0825309491059,78.6,2.5331,"Medium","Medium","Low"
"38",37,25452,36005007500,"Census Tract 75, Bronx County, New York: Summary level: 140, state:36> county:005> tract:007500",9.43025540275049,39.3820325058046,22.2003929273084,22.5040185747455,74.5,1.1711,"High","High","Low"
"39",38,33465,36005007600,"Census Tract 76, Bronx County, New York: Summary level: 140, state:36> county:005> tract:007600",22.623948451763,45.7311616252014,21.0130660461786,24.7896903526043,81.3,2.4677,"Medium","Medium","Low"
"40",39,26486,36005007700,"Census Tract 77, Bronx County, New York: Summary level: 140, state:36> county:005> tract:007700",14.2265907915158,40.9725814795654,13.8644593895499,20.2793585100879,73.7,3.5823,"High","Medium","Low"
"41",40,30437,36005007800,"Census Tract 78, Bronx County, New York: Summary level: 140, state:36> county:005> tract:007800",22.0006136851795,43.9705431113839,14.6363915311445,21.3255599877263,75.6,1.4127,"High","High","Low"
"42",41,24278,36005007900,"Census Tract 79, Bronx County, New York: Summary level: 140, state:36> county:005> tract:007900",14.8909657320872,40.1090342679128,24.2523364485981,23.8785046728972,82.1,3.5458,"High","High","Low"
"43",42,19818,36005008300,"Census Tract 83, Bronx County, New York: Summary level: 140, state:36> county:005> tract:008300",8.57308921825051,39.7994768962511,17.6983435047951,24.8619587329265,77.8,2.0655,"Medium","High","Low"
"44",43,60135,36005008400,"Census Tract 84, Bronx County, New York: Summary level: 140, state:36> county:005> tract:008400",26.7365661861075,50.5460899956313,8.99956312800349,24.3774574049803,83.6,2.8616,"Medium","Low","Medium"
